datakey,data,datatype,databasis
,,,
sqft,sqft,range,unit=SQFT;precision=0
,,,
crime,crime,category,Arrest;0;Theft;1;Other;2;Vandalism;3;Robbery;4;Assault;5;Burglary;6;Arson;7;Shooting;8
,,,
count,count,num,unit=CT;precision=0
teachers,teachers,num,unit=PPL;precision=0
students,students,num,unit=PPL;precision=0
,,,
schoollevel,schoollevel,category,Elementary;0;Middle;1;High;2
gradelevel,gradelevel,category,KG;0;1st;1;2nd;2;3rd;3;4th;4;5th;5;6th;6;7th;7;8th;8;9th;9;10th;10;11th;11;12th;12
,,,
satscore,satscore,num,unit=SAT;precision=0
actscore,actscore,num,unit=ACT;precision=0 
,,,
graduation,graduation,category,Failed;0;Graduated;1
ap,ap,category,NotEnrolled;0;Enrolled;1
math,math,category,NotProficent;0;Proficent;1
reading,reading,category,NotProficent;0;Proficent;1
